Key,English,Vietnamese,Japanese,Korean,Chinese,Spanish,Portuguese,Italian,German,French,Russian
STRING_REVIVE,Revive,Hồi sinh,復活,부활,复活,Revivir,Reviver,Rianima,Wiederbeleben,Revivre,Возродиться
STRING_REVIVE_MORE_CHANCES,Continue with more chances,Tiếp tục với nhiều cơ hội hơn,さらにチャンスを増やして続ける,더 많은 기회로 계속하기,继续并获得更多机会,Continuar con más oportunidades,Continuar com mais chances,Continua con più possibilità,Mit mehr Chancen weitermachen,Continuer avec plus de chances,Продолжить с дополнительными шансами
STRING_REVIVE_KEEP_PLAY,"You are almost done.
Keep playing.","Bạn gần như đã hoàn tất.
Tiếp tục chơi.",もうすぐ終わります。プレイを続けてください。,거의 끝났습니다. 계속 플레이하세요.,你快完成了。继续玩吧。,Estás casi terminado. Sigue jugando.,Você está quase lá. Continue jogando.,Sei quasi alla fine. Continua a giocare.,Du bist fast fertig. Mach weiter.,Vous êtes presque terminé. Continuez à jouer.,Вы почти завершили. Продолжайте играть.
STRING_REVIVE_MORE_TIME,Continue with more time.,Tiếp tục với thêm thời gian,さらに時間を追加して続ける,더 많은 시간으로 계속하기,继续并获得更多时间,Continuar con más tiempo,Continuar com mais tempo,Continua con più tempo,Mit mehr Zeit fortfahren,Continuer avec plus de temps,Продолжить с дополнительным временем
STRING_WATCH_ADS_UNLOCK_LEVEL,Watch AD to unlock this level,Xem quảng cáo để mở khóa màn chơi này,このレベルをアンロックするには広告を見る,이 레벨을 잠금 해제하려면 광고 보기,观看广告解锁此关卡,Mira un anuncio para desbloquear este nivel,Assista ao anúncio para desbloquear este nível,Guarda un annuncio per sbloccare questo livello,"Sieh dir eine Anzeige an, um dieses Level freizuschalten",Regardez une publicité pour débloquer ce niveau,"Посмотрите рекламу, чтобы разблокировать этот уровень"
STRING_WATCH,Watch,Xem,見る,보기,观看,Ver,Assistir,Guarda,Ansehen,Regarder,Смотреть
STRING_WATCH_ADS_UNLOCK_NEXT_LEVEL,Watch AD to unlock next level,Xem quảng cáo để mở khóa màn chơi tiếp theo,次のレベルをアンロックするには広告を見る,다음 레벨을 잠금 해제하려면 광고 보기,观看广告解锁下一关卡,Mira un anuncio para desbloquear el siguiente nivel,Assista ao anúncio para desbloquear o próximo nível,Guarda un annuncio per sbloccare il livello successivo,"Sieh dir eine Anzeige an, um das nächste Level freizuschalten",Regardez une publicité pour débloquer le niveau suivant,"Посмотрите рекламу, чтобы разблокировать следующий уровень"
STRING_LANGUAGE,Language,Ngôn ngữ,言語,언어,语言,Idioma,Idioma,Lingua,Sprache,Langue,Язык
STRING_RATE_APP1,How would you love this game?,Bạn có thích trò chơi này không?,このゲームをどう思いますか？,이 게임을 어떻게 생각하시나요?,你喜欢这款游戏吗？,¿Cómo te gusta este juego?,O que você acha deste jogo?,Cosa ne pensi di questo gioco?,Wie findest du dieses Spiel?,Que pensez-vous de ce jeu ?,Как вам эта игра?
STRING_RATE_APP2,Rate for us,Đánh giá cho chúng tôi,評価をお願いします,평가해 주세요,给我们评分,Califícanos,Avalie-nos,Valutaci,Bewerte uns,Évaluez-nous,Оцените нас
STRING_RATE_APP3,Leave a comment,Để lại một bình luận,コメントを残す,댓글 남기기,留下评论,Deja un comentario,Deixe um comentário,Lascia un commento,Kommentar hinterlassen,Laisser un commentaire,Оставить комментарий
STRING_SUBMIT,Submit,Gửi,提出,제출,提交,Enviar,Enviar,Invia,Einreichen,Soumettre,Отправить
STRING_WEEKEND_TITLE1,Enjoy your weekend,Thưởng thức cuối tuần của bạn,良い週末をお過ごしください,주말 잘 보내세요,享受你的周末,¡Disfruta de tu fin de semana,Aproveite o seu final de semana,Buon fine settimana,Viel Spaß am Wochenende,Bon week-end,Хороших выходных
STRING_WEEKEND_BODY1,Play now to relax and recharge.,Chơi ngay để thư giãn và nạp năng lượng. ,今すぐプレイしてリラックスし、リチャージしてください。,지금 플레이하여 편안히 쉬고 재충전하세요.,现在玩游戏来放松和充电。,Juega ahora para relajarte y recargar energías.,Jogue agora para relaxar e recarregar as energias.,Gioca ora per rilassarti e ricaricarti.,"Spiele jetzt, um dich zu entspannen und neue Energie zu tanken.",Jouez maintenant pour vous détendre et vous ressourcer.,"Играйте сейчас, чтобы расслабиться и восстановить силы."
STRING_NORMAL_DAY_TITLE1,Need to relax?,Cần thư giãn?,リラックスしたいですか？,휴식이 필요하신가요?,需要放松一下吗？,¿Necesitas relajarte?,Precisa relaxar?,Hai bisogno di rilassarti?,Brauchst du Entspannung?,Besoin de vous détendre ?,Нужен отдых?
STRING_NORMAL_DAY_BODY1,Explore soothing ASMR sounds in the game!,Khám phá âm thanh ASMR thư giãn trong trò chơi!,ゲーム内で心地よいASMRサウンドを探索しよう！,게임에서 편안한 ASMR 사운드를 탐험해 보세요!,在游戏中探索舒缓的ASMR声音吧！,¡Explora los sonidos ASMR relajantes en el juego!,Explore sons ASMR relaxantes no jogo!,Esplora i suoni ASMR rilassanti nel gioco!,Entdecke beruhigende ASMR-Geräusche im Spiel!,Explorez les sons ASMR apaisants dans le jeu !,Исследуйте расслабляющие ASMR-звуки в игре!
STRING_NORMAL_DAY_TITLE2,Feeling stressed?,Cảm thấy căng thẳng?,ストレスを感じていますか？,스트레스를 느끼시나요?,感到有压力吗？,¿Te sientes estresado?,Sentindo-se estressado?,Ti senti stressato?,Fühlst du dich gestresst?,Vous vous sentez stressé ?,Чувствуете стресс?
STRING_NORMAL_DAY_BODY2,Play now to unwind and find calm.,Chơi ngay để thư giãn và tìm lại sự bình tĩnh!,今すぐプレイしてリラックスし、心を落ち着けましょう。,지금 플레이하여 긴장을 풀고 평온을 찾아보세요.,现在开始游戏，放松心情，寻找宁静。,¡Juega ahora para relajarte y encontrar la calma!,Jogue agora para relaxar e encontrar a calma.,Gioca ora per rilassarti e trovare la calma.,"Spiele jetzt, um dich zu entspannen und Ruhe zu finden.",Joue maintenant pour te détendre et trouver la sérénité.,"Играй сейчас, чтобы расслабиться и найти спокойствие."
STRING_NORMAL_DAY_TITLE3,Need to focus?,Cần tập trung?,集中したいですか？,집중이 필요하신가요?,需要集中注意力吗？,¿Necesitas concentrarte?,Precisa se concentrar?,Hai bisogno di concentrarti?,Muss man sich konzentrieren?,Besoin de vous concentrer ?,Нужно сосредоточиться?
STRING_NORMAL_DAY_BODY3,This game will help you.,Trò chơi này sẽ giúp bạn.,このゲームはあなたをサポートします。,이 게임이 도움이 될 것입니다.,这个游戏将帮助你。,Este juego te ayudará.,Este jogo vai te ajudar.,Questo gioco ti aiuterà.,Dieses Spiel wird dir helfen.,Ce jeu va t'aider.,Эта игра поможет тебе.
STRING_VIBRATION,Vibration,Rung,バイブレーション,진동,震动,Vibración,Vibração,Vibrazione,Vibration,Vibration,Вибрация
STRING_AD_LOADING,Ad loading...,Đang tải quảng cáo...,広告を読み込んでいます...,광고 로드 중...,广告加载中...,Cargando anuncio...,Carregando anúncio...,Caricamento annuncio...,Anzeige wird geladen...,Chargement de l'annonce...,Загрузка объявления...
STRING_SPECIAL_LEVEL,Special level,Màn đặc biệt,特別なステージ,특별 스테이지,特别关卡,Nivel Especial,Nível Especial,Livello Speciale,Speziallevel,Niveau Spécial,Специальный уровень
STRING_WIN_TO_GET_REWARD,Win to get reward,Thắng để nhận phần thưởng,勝利して報酬を獲得しよう,승리하여 보상을 받으세요,获胜以获取奖励,Gana para obtener recompensas.,Vença para ganhar recompensas.,Vinci per ottenere ricompense.,"Gewinne, um Belohnungen zu erhalten.",Gagne pour obtenir des récompenses.,"Побеждай, чтобы получать награды."
STRING_PET_ITEM_PURCHASE_SUCCESSFUL,"Congratulation!
You already own the item","Xin chúc mừng!
Bạn đã sở hữu sản phẩm","おめでとうございます！
このアイテムはすでにお持ちです。","축하합니다!
이 아이템은 이미 소유하고 있습니다.","恭喜！
你已经拥有这个物品了。","¡Felicidades!
¡Ya posees este ítem!","Parabéns!
Você já possui este item.","Congratulazioni!
Possiedi già questo oggetto.","Herzlichen Glückwunsch!
Du besitzt den Gegenstand bereits.","Félicitations !
Vous possédez déjà cet objet.","Поздравляем!
Этот предмет у вас уже есть."
STRING_TUTORIAL_PET_TEXT_1,The capybara is happiest when being fed,Loài capybara cảm thấy hạnh phúc nhất khi được cho ăn,カピバラは食べ物をもらっているときが一番幸せです,카피바라는 먹이를 받을 때 가장 행복해합니다,水豚在被喂食时最快乐,El capibara es más feliz cuando está siendo alimentado,A capivara é mais feliz quando está sendo alimentada,Il capibara è più felice quando viene nutrito,"Das Capybara ist am glücklichsten, wenn es gefüttert wird",Le capybara est le plus heureux quand il est nourri,"Капибара счастлива, когда её кормят"
STRING_TUTORIAL_PET_TEXT_2,Capybara also like to dress up nicely,Capybara cũng thích ăn diện đẹp,カピバラはおしゃれをするのも好きです,카피바라는 멋지게 옷을 입는 것도 좋아합니다,水豚也喜欢打扮得漂漂亮亮,El capibara también disfruta vestirse bien,A capivara também gosta de se vestir bem,Il capibara piace anche vestirsi bene,"Capybaras mögen es auch, sich schick zu machen",Le capybara aime aussi s'habiller élégamment,Капибары также любят наряжаться
STRING_PLAY,Play,Chơi,プレイ,플레이,玩,Jugar,Jogar,Gioca,Spielen,Jouer,Играть
STRING_RESTORE_PURCHASES,Restore Purchases,Khôi phục giao dịch mua,購入を復元 (こうにゅうをふくげん),구매 복원,恢复购买,Restaurar compras,Restaurar compras,Ripristina acquisti,Käufe wiederherstellen,Restaurer les achats,Восстановить покупки
STRING_WAIT_FOR_RESTORING,Wait for restoring,Chờ khôi phục,復元を待っています,복원 중입니다. 기다려 주세요,等待恢复中,Esperando a que se restaure,Aguarde a restauração,Attendi il ripristino,Warten auf Wiederherstellung,Attendez la restauration,Ожидайте восстановления
STRING_HALLOWEEN_WARNING,"Halloween's level contain horror elements, so consider carefully before playing","Các màn Halloween có chứa các yếu tố kinh dị, vì vậy hãy cân nhắc kỹ trước khi chơi",ハロウィンのレベルにはホラー要素が含まれているので、プレイする前によく考えてください,"
할로윈 레벨에는 호러 요소가 포함되어 있으니, 플레이하기 전에 신중히 고려하세요",万圣节的关卡包含恐怖元素，所以请在游戏前仔细考虑,"
El nivel de Halloween contiene elementos de horror, así que considera cuidadosamente antes de jugar","O nível de Halloween contém elementos de horror, então considere cuidadosamente antes de jogar","
Il livello di Halloween contiene elementi horror, quindi considera attentamente prima di giocare","
Das Halloween-Level enthält Horrorelemente, daher überlege gut, bevor du spielst","
Le niveau d'Halloween contient des éléments d'horreur, donc réfléchissez bien avant de jouer","Уровень Хэллоуина содержит элементы ужаса, поэтому подумайте внимательно перед игрой"
STRING_NORMAL_DAY_TITLE4,New Levels Every Week!,Cấp độ mới mỗi tuần!,毎週新しいレベルが登場！,매주 새로운 레벨 추가!,每周都有新关卡！,¡Nuevos niveles cada semana!,Novos níveis toda semana!,Nuovi livelli ogni settimana!,Jede Woche neue Levels!,Niveaux nouveaux chaque semaine!,Новые уровни каждую неделю!
STRING_NORMAL_DAY_BODY4,We are launching exciting new levels every week. Don't miss out!,Chúng tôi ra mắt cấp độ mới thú vị mỗi tuần. Đừng bỏ lỡ!,毎週新しい面白いレベルを追加しています。お見逃しなく！,매주 흥미로운 새로운 레벨이 추가됩니다. 놓치지 마세요!,我们每周推出精彩的新关卡。不要错过！,Lanzamos nuevos niveles emocionantes cada semana. ¡No te lo pierdas!,Estamos lançando novos níveis emocionantes toda semana. Não perca!,Lanciamos nuovi livelli entusiasmanti ogni settimana. Non perderli!,Wir bringen jede Woche spannende neue Levels heraus. Verpass sie nicht!,Nous lançons chaque semaine de nouveaux niveaux passionnants. Ne les manquez pas!,Каждую неделю мы запускаем новые захватывающие уровни. Не пропустите!
STRING_HALLOWEEN_DAY_TITLE1,Halloween is Coming!,Halloween đang đến!,ハロウィンが近づいています！,할로윈이 다가오고 있습니다!,万圣节即将来临！,¡Halloween se acerca!,Halloween está chegando!,Halloween sta arrivando!,Halloween steht vor der Tür!,Halloween approche!,Хэллоуин приближается!
STRING_HALLOWEEN_DAY_BODY1,Exciting new game levels this festive season! Stay tuned,Cấp độ game mới thú vị trong mùa lễ hội này! Hãy theo dõi nhé!,このお祭りのシーズンにエキサイティングな新しいゲームレベルが登場！お楽しみに！,이번 축제 시즌에 흥미로운 새로운 게임 레벨이 추가됩니다! 기대해 주세요!,这个节日季节有令人兴奋的新游戏关卡！敬请期待！,¡Niveles de juego nuevos y emocionantes esta temporada festiva! ¡Mantente atento!,Novos níveis de jogo emocionantes nesta temporada festiva! Fique ligado!,Nuovi livelli di gioco entusiasmanti in questa stagione festiva! Rimanete sintonizzati!,Spannende neue Spiellevels in dieser festlichen Saison! Bleibt dran!,Nouveaux niveaux de jeu passionnants cette saison festive ! Restez à l'écoute !,Увлекательные новые уровни игры в этот праздничный сезон! Следите за новостями!
STRING_HALLOWEEN_WELCOME_POPUP_1,Enjoy Halloween Special Levels,Thưởng thức các màn chơi đặc biệt của Halloween,"
ハロウィンスペシャルレベルを楽しもう","
할로윈 특별 레벨을 즐기세요","
尽情享受万圣节特别关卡","
¡Disfruta de los Niveles Especiales de Halloween","
Aproveite os Níveis Especiais de Halloween","
Divertiti con i Livelli Speciali di Halloween","
Viel Spaß mit den Halloween-Sonderleveln","
Profitez des niveaux spéciaux d'Halloween","
Наслаждайтесь специальными уровнями на Хэллоуин"
STRING_HALLOWEEN_WELCOME_POPUP_2,Play to earn ton of Capybara's gifts,Chơi để kiếm được hàng tấn quà tặng dành cho Capybara,プレイしてカピバラのたくさんのギフトを手に入れよう,플레이하여 카피바라의 많은 선물을 받아보세요,玩游戏赚取大量水豚的礼物,¡Juega para ganar un montón de regalos de capibara,Jogue para ganhar um monte de presentes do capivara,Gioca per guadagnare un sacco di regali di capibara,"Spiele, um jede Menge Geschenke von Capybara zu verdienen",Joue pour gagner plein de cadeaux de capybara,"Играй, чтобы заработать кучу подарков от капибары"
STRING_PAYMENT_SUCCESSFULL,"Your transaction was successful, thank you.","Giao dịch của bạn đã thành công, cảm ơn bạn.",取引が成功しました。ありがとうございます,거래가 성공적으로 완료되었습니다. 감사합니다,您的交易已成功，谢谢您,"Su transacción fue exitosa, gracias.","Sua transação foi bem-sucedida, obrigado.","La tua transazione è andata a buon fine, grazie.","Ihre Transaktion war erfolgreich, danke.","Votre transaction a été réussie, merci.","Ваша транзакция прошла успешно, спасибо."
STRING_SHOP_SPECIAL_PACK_STARTER,Starter Pack,Gói Tân Thủ,スターターパック,스타터 팩,入门礼包,Paquete Inicial,Pacote Inicial,Pacchetto Iniziale,Starterpaket,Pack de Démarrage,Стартовый Пакет
STRING_SHOP_SPECIAL_PACK_PREMIUM,Premium Pack,Gói Cao Cấp,プレミアムパック,프리미엄 팩,高级礼包,Paquete Premium,Pacote Premium,Pacchetto Premium,Premiumpaket,Pack Premium,Премиум Пакет
STRING_SHOP_SPECIAL_PACK_REMOVE_ADS,Remove ADS Pack,Gói Loại Bỏ Quảng Cáo,広告削除パック,광고 제거 팩,去广告礼包,Paquete para Eliminar Anuncios,Pacote para Remover Anúncios,Pacchetto Rimuovi Annunci,Werbefrei-Paket,Pack Suppression des Publicités,Пакет Удаления Рекламы
STRING_SHOP_SPECIAL_PACK_REMOVE_TIMER,Remove Timer Pack,Gói Loại Bỏ Hẹn Giờ,タイマー削除パック,타이머 제거 팩,去除计时礼包,Paquete para Eliminar el Temporizador,Pacote para Remover o Temporizador,Pacchetto Rimuovi Timer,Zeitmesser-Entfernungspaket,Pack Suppression du Minuteur,Пакет Удаления Таймера
STRING_SHOP_ITEM_REMOVE_TIMER,Timer,Hẹn Giờ,タイマー,타이머,计时器,Temporizador,Temporizador,Timer,Timer,Minuteur,Таймер
STRING_SHOP_ITEM_REMOVE_TIMER_MANIPULATION,Time Manipulation,Điều Khiển Thời Gian,時間操作,시간 조작,时间操控,Manipulación del Tiempo,Manipulação do Tempo,Manipolazione del Tempo,Zeitmanipulation,Manipulation du Temps,Манипуляция Временем
STRING_SHOP_ITEM_COIN,Coin,Xu,コイン,동전,硬币,Moneda,Moeda,Moneta,Münze,Pièce,Монета
STRING_SHOP_SPECIAL_PACK_TAG,Special Pack,Gói Đặc Biệt,スペシャルパック,스페셜 팩,特别礼包,Paquete Especial,Pacote Especial,Pacchetto Speciale,Spezialpaket,Pack Spécial,Специальный Пакет
STRING_SHOP_ITEM_TAG,Item,Vật Phẩm,アイテム,아이템,道具,Objeto,Item,Oggetto,Gegenstand,Objet,Предмет
STRING_SHOP_SPECIAL_PACK_STARTER_DESCRIPTION_1,Remove Bottom Banner Ads,Loại Bỏ Quảng Cáo Dưới Cùng,広告バナーを削除,하단 배너 광고 제거,删除底部横幅广告,Eliminar Anuncios de Banner Inferior,Remover Banners Inferiores,Rimuovi Banner Inferiori,Entferne Untere Banneranzeigen,Supprimer les Bannières Inférieures,Удалить Нижние Баннеры
STRING_SHOP_SPECIAL_PACK_STARTER_DESCRIPTION_2,Remove Ads Between Levels,Loại Bỏ Quảng Cáo Giữa Các Màn,レベル間広告を削除,레벨 간 광고 제거,删除关卡间广告,Eliminar Anuncios entre Niveles,Remover Anúncios entre Níveis,Rimuovi Annunci tra i Livelli,Entferne Anzeigen Zwischen den Ebenen,Supprimer les Publicités entre les Niveaux,Удалить Рекламу Между Уровнями
STRING_SHOP_SPECIAL_PACK_PREMIUM_DESCRIPTION_1,Remove Ads Between Levels and Bottom Banner Ads,Loại Bỏ Quảng Cáo Giữa Các Màn và Dưới Cùng,レベル間と下部広告を削除,레벨 간 및 하단 배너 광고 제거,删除关卡间和底部横幅广告,Eliminar Anuncios entre Niveles y Banners Inferiores,Remover Anúncios entre Níveis e Banners Inferiores,Rimuovi Annunci tra i Livelli e Banner Inferiori,Entferne Anzeigen Zwischen den Ebenen und Untere Banneranzeigen,Supprimer les Publicités entre les Niveaux et les Bannières Inférieures,Удалить Рекламу Между Уровнями и Нижние Баннеры
STRING_SHOP_SPECIAL_PACK_PREMIUM_DESCRIPTION_2,"Remove Time Limits at All Levels, Freely Conquer All Challenges","Loại Bỏ Giới Hạn Thời Gian ở Tất Cả Các Màn, Tự Do Chinh Phục Mọi Thử Thách",全レベルで時間制限を削除し、自由に挑戦を征服,"모든 레벨의 시간 제한 제거, 자유롭게 도전 정복",移除所有关卡的时间限制，自由征服所有挑战,"Eliminar Límites de Tiempo en Todos los Niveles, Conquista Libremente Todos los Desafíos","Remover Limites de Tempo em Todos os Níveis, Conquiste Livremente Todos os Desafios","Rimuovi i Limiti di Tempo a Tutti i Livelli, Conquista Liberamente Tutte le Sfide","Entferne Zeitbegrenzungen auf Allen Ebenen, Erobere Frei Alle Herausforderungen","Supprimer les Limites de Temps à Tous les Niveaux, Conquérez Librement Tous les Défis","Удалить Ограничения Времени на Всех Уровнях, Свободно Покоряйте Все Испытания"
STRING_SHOP_SPECIAL_PACK_REMOVE_ADS_DESCRIPTION_1,Remove bottom banner ads,Loại Bỏ Quảng Cáo Dưới Cùng,広告バナーを削除,하단 배너 광고 제거,删除底部横幅广告,Eliminar Anuncios de Banner Inferior,Remover Banners Inferiores,Rimuovi Banner Inferiori,Entferne Untere Banneranzeigen,Supprimer les Bannières Inférieures,Удалить Нижние Баннеры
STRING_SHOP_SPECIAL_PACK_REMOVE_ADS_DESCRIPTION_2,Remove ads between levels,Loại Bỏ Quảng Cáo Giữa Các Màn,レベル間広告を削除,레벨 간 광고 제거,删除关卡间广告,Eliminar Anuncios entre Niveles,Remover Anúncios entre Níveis,Rimuovi Annunci tra i Livelli,Entferne Anzeigen Zwischen den Ebenen,Supprimer les Publicités entre les Niveaux,Удалить Рекламу Между Уровнями
STRING_SHOP_SPECIAL_PACK_REMOVE_TIMER_DESCRIPTION_1,"Remove time limits at all levels, freely conquer all challenges","Loại Bỏ Giới Hạn Thời Gian ở Tất Cả Các Màn, Tự Do Chinh Phục Mọi Thử Thách",全レベルで時間制限を削除し、自由に挑戦を征服,"모든 레벨의 시간 제한 제거, 자유롭게 도전 정복",移除所有关卡的时间限制，自由征服所有挑战,"Eliminar Límites de Tiempo en Todos los Niveles, Conquista Libremente Todos los Desafíos","Remover Limites de Tempo em Todos os Níveis, Conquiste Livremente Todos os Desafios","Rimuovi i Limiti di Tempo a Tutti i Livelli, Conquista Liberamente Tutte le Sfide","Entferne Zeitbegrenzungen auf Allen Ebenen, Erobere Frei Alle Herausforderungen","Supprimer les Limites de Temps à Tous les Niveaux, Conquérez Librement Tous les Défis","Удалить Ограничения Времени на Всех Уровнях, Свободно Покоряйте Все Испытания"
