Key,English,Vietnamese,Japanese,Korean,Chinese,Spanish,Portuguese,Italian,German,French,Russian
STRING_MAKE_COFFEE_LESS_SUGAR_DETAIl,1 time syrup,1 lần siro,1回のシロップ,1회 시럽,1次糖浆,1 vez jarabe,1 vez de xarope,1 volta di sciroppo,1 Mal Sirup,1 fois du sirop,1 раз сироп
STRING_MAKE_COFFEE_NORMAL_SUGAR_DETAIl,2 times syrup,2 lần siro,2回のシロップ,2회 시럽,2次糖浆,2 veces jarabe,2 vezes de xarope,2 volte di sciroppo,2 Mal Sirup,2 fois du sirop,2 раза сироп
STRING_MAKE_COFFEE_NORMAL_ICE_DETAIL,2 cubes,2 viên,2個の氷,2개 얼음,2块冰,2 cubos de hielo,2 cubos de gelo,2 cubetti,2 Würfel,2 glaçons,2 кубика
STRING_MAKE_COFFEE_LESS_ICE_DETAIL,1 cube,1 viên,1個の氷,1개 얼음,1块冰,1 cubo de hielo,1 cubo de gelo,1 cubetto,1 Würfel,1 glaçon,1 кубик
STRING_MAKE_COFFEE_MORE_ICE_DETAIL,3 cubes,3 viên,3個の氷,3개 얼음,3块冰,3 cubos de hielo,3 cubos de gelo,3 cubetti,3 Würfel,3 glaçons,3 кубика
STRING_CHILDHOOD_TOUCH_THE_ROOF,Touch the roof to repair it,Chạm vào mái nhà để sửa chữa nó,屋根に触れて修理する,지붕을 터치하여 수리하기,触摸屋顶进行修复,Toca el techo para repararlo,Toque no telhado para repará-lo,Tocca il tetto per ripararlo,"Berühre das Dach, um es zu reparieren",Touchez le toit pour le réparer,"Коснитесь крыши, чтобы отремонтировать её"
STRING_CHILDHOOD_THROW_AWAY,Throw away opened items,Vứt bỏ những món đồ đã mở,開封したアイテムを捨てる,개봉한 물건 버리기,扔掉已开封的物品,Desecha los artículos abiertos,Jogue fora os itens abertos,Getta via gli oggetti aperti,Offene Gegenstände wegwerfen,Jetez les articles ouverts,Выбросите открытые предметы
STRING_CLEAN_STOVE_HINT,Clean stove step by step until this scene,Làm sạch bếp từng bước cho đến cảnh này,このシーンまでステップバイステップでコンロを掃除する,이 장면까지 단계별로 스토브 청소하기,按步骤清洁炉子直到此场景,Limpia la estufa paso a paso hasta esta escena,Limpe o fogão passo a passo até esta cena,Pulisci il fornello passo dopo passo fino a questa scena,Den Herd Schritt für Schritt bis zu dieser Szene reinigen,Nettoyez la cuisinière étape par étape jusqu'à cette scène,Очистите плиту шаг за шагом до этой сцены
STRING_HOT_POT_HINT,Turn up the temperature of the induction cooker to 5,Tăng nhiệt độ của bếp từ lên 5,IHコンロの温度を5に上げる,인덕션 쿠커의 온도를 5로 올리기,将电磁炉的温度调至5,Aumenta la temperatura del cooktop a 5,Aumente a temperatura do fogão de indução para 5,Aumenta la temperatura del piano cottura a induzione a 5,Die Temperatur des Induktionskochfelds auf 5 erhöhen,Augmentez la température de la plaque à induction à 5,Увеличьте температуру индукционной плиты до 5
STRING_MAKE_DUMPLING_STEP_1,Mix and rotate each ingredient in the correct order,Lần lượt trộn và xoay từng nguyên liệu theo đúng thứ tự,各材料を正しい順序で混ぜて回す,각 재료를 올바른 순서로 섞고 돌리기,按正确顺序混合和旋转每种配料,Mezcla y rota cada ingrediente en el orden correcto,Misture e gire cada ingrediente na ordem correta,Mescola e ruota ogni ingrediente nell'ordine corretto,Jedes Ingredient in der richtigen Reihenfolge mischen und drehen,Mélangez et faites tourner chaque ingrédient dans le bon ordre,Смешивайте и вращайте каждый ингредиент в правильном порядке
STRING_MAKE_DUMPLING_STEP_2_1,Use a rolling pin to roll the dough,Dùng cán gỗ để cán bột,麺棒を使って生地を伸ばす,밀대로 반죽을 밀기,用擀面杖擀面团,Usa un rodillo para estirar la masa,Use um rolo para esticar a massa,Usa un mattarello per stendere l'impasto,"Verwende ein Nudelholz, um den Teig auszurollen",Utilisez un rouleau à pâtisserie pour étaler la pâte,"Используйте скалку, чтобы раскатать тесто"
STRING_MAKE_DUMPLING_STEP_2_2,Use a knife to cut the dough,Dùng dao để cắt bột,ナイフを使って生地を切る,칼로 반죽 자르기,用刀切割面团,Usa un cuchillo para cortar la masa,Use uma faca para cortar a massa,Usa un coltello per tagliare l'impasto,"Verwende ein Messer, um den Teig zu schneiden",Utilisez un couteau pour couper la pâte,"Используйте нож, чтобы нарезать тесто"
STRING_MAKE_DUMPLING_STEP_2_3,Use molds to create shapes,Dùng khuôn để tạo hình,型を使って形を作る,몰드를 사용하여 모양 만들기,使用模具制作形状,Usa moldes para crear formas,Use formas para criar formatos,Usa degli stampi per creare forme,"Verwende Ausstechformen, um Formen zu erstellen",Utilisez des moules pour créer des formes,Используйте формы для создания фигур
STRING_MAKE_DUMPLING_STEP_3,"Put the cake in the pot, turn on the stove to steam the cake and complete","Cho bánh vào nồi, bật bếp để hấp bánh và hoàn thành",ケーキを鍋に入れ、コンロをつけてケーキを蒸して完成させる,"케이크를 냄비에 넣고, 스토브를 켜서 케이크를 찌고 완료하기",将蛋糕放入锅中，打开炉子蒸蛋糕并完成,"Coloca el pastel en la olla, enciende la estufa para cocer al vapor el pastel y completa","Coloque o bolo na panela, ligue o fogão para cozinhar o bolo no vapor e complete","Metti la torta nella pentola, accendi il fornello per cuocere al vapore e completa","Den Kuchen in den Topf legen, den Herd einschalten, um den Kuchen zu dämpfen und fertigstellen","Mettez le gâteau dans la casserole, allumez le feu pour cuire le gâteau à la vapeur et terminez","Положите торт в кастрюлю, включите плиту, чтобы приготовить торт на пару, и завершите"
STRING_POND_CLEAN_UP_CLICK_THE_FROG,Click the frog to turn the water on,Bấm vào con ếch để bật nước,カエルをクリックして水を出す,개구리를 클릭하여 물 켜기,点击青蛙打开水龙头,Haz clic en la rana para encender el agua,Clique na rã para ligar a água,Clicca sulla rana per accendere l'acqua,"Klicke auf den Frosch, um das Wasser einzuschalten",Cliquez sur la grenouille pour allumer l'eau,"Нажмите на лягушку, чтобы включить воду"
STRING_POND_CLEAN_UP_CLEAN_UP THE_POND,Clean up the pond in order of the appearance of the props,Dọn dẹp ao theo thứ tự xuất hiện của công cụ,道具が出現する順番で池を掃除する,소품이 나타나는 순서대로 연못 청소하기,按道具出现的顺序清理池塘,Limpia el estanque en el orden en que aparecen los objetos,Limpe o lago na ordem em que os objetos aparecem,Pulisci lo stagno seguendo l'ordine di apparizione degli oggetti,Den Teich in der Reihenfolge der Erscheinung der Requisiten reinigen,Nettoyez l'étang dans l'ordre d'apparition des accessoires,Очистите пруд в порядке появления реквизита
STRING_POND_CLEANUP_PUT_THE_PLUG,Put the plug and plants back to the correct position,Đặt cái nắp và cây về đúng vị trí,プラグと植物を正しい位置に戻す,플러그와 식물을 올바른 위치에 다시 놓기,将插头和植物放回正确的位置,Coloca el enchufe y las plantas en su posición correcta,Coloque o plugue e as plantas de volta na posição correta,Rimetti la spina e le piante nella posizione corretta,Den Stecker und die Pflanzen an die richtige Stelle zurücksetzen,Remettez la prise et les plantes à leur position correcte,Поставьте штепсель и растения на их правильные места
STRING_TEA_PARTY_STEP_1,Adjust manually the position of the strawberry cake,Điều chỉnh thủ công vị trí của bánh dâu,イチゴケーキの位置を手動で調整する,수동으로 딸기 케이크의 위치 조정하기,手动调整草莓蛋糕的位置,Ajusta manualmente la posición del pastel de fresa,Ajuste manualmente a posição do bolo de morango,Regola manualmente la posizione della torta di fragole,Die Position der Erdbeertorte manuell anpassen,Ajustez manuellement la position du gâteau à la fraise,Регулируйте вручную положение клубничного торта
STRING_TEA_PARTY_STEP_2,Drag tea bag into the teacup,Kéo túi trà vào tách trà,ティーバッグをカップにドラッグする,티백을 티컵으로 드래그하기,将茶包拖入茶杯,Arrastra la bolsa de té a la taza,Arraste o saquinho de chá para a xícara,Trascina il sacchetto di tè nella tazza,Den Teebeutel in die Tasse ziehen,Faites glisser le sachet de thé dans la tasse,Перетащите чайный пакетик в чашку
STRING_TEA_PARTY_STEP_3,Take a picture by phone after placing it,Chụp ảnh bằng điện thoại ,設置後にスマホで写真を撮る,배치 후 휴대폰으로 사진 찍기,放置后用手机拍照,Toma una foto con el teléfono después de colocarlo,Tire uma foto com o telefone após colocá-lo,Scatta una foto con il telefono dopo averlo posizionato,"Mach ein Foto mit dem Handy, nachdem du es platziert hast",Prenez une photo avec le téléphone après l'avoir placé,"Сфотографируйте с помощью телефона после того, как вы его разместите"
STRING_WASH_DOORMAT_HINT,The final step,Bước cuối cùng,最終ステップ,마지막 단계,最后一步,El paso final,O passo final,L'ultimo passo,Der letzte Schritt,L'étape finale,Последний шаг
STRING_PETHOUSE_USE_TOWEL,Use towel to clean the dirty rabbit,Dùng khăn lau sạch thỏ bẩn,タオルを使って汚れたウサギを掃除する,타올을 사용하여 더러운 토끼 청소하기,用毛巾清洁脏兔子,Usa una toalla para limpiar al conejo sucio,Use uma toalha para limpar o coelho sujo,Usa un asciugamano per pulire il coniglio sporco,"Verwende ein Handtuch, um das schmutzige Kaninchen zu reinigen",Utilisez une serviette pour nettoyer le lapin sale,"Используйте полотенце, чтобы очистить грязного кролика"
STRING_PETHOUSE_CLOSE_GLASS,Close all the glass panels,Đóng tất cả các tấm kính,すべてのガラスパネルを閉じる,모든 유리 패널 닫기,关闭所有玻璃面板,Cierra todos los paneles de vidrio,Feche todos os painéis de vidro,Chiudi tutti i pannelli di vetro,Alle Glasscheiben schließen,Fermez tous les panneaux en verre,Закройте все стеклянные панели
STRING_PETHOUSE_HAMSTER_HIDING,The hamster is hiding behind the bushes,Chú hamster đang trốn sau bụi cây,ハムスターが茂みの後ろに隠れている,햄스터가 덤불 뒤에 숨겨져 있음,仓鼠藏在灌木丛后面,El hámster se está escondiendo detrás de los arbustos,O hamster está escondido atrás dos arbustos,Il criceto si sta nascondendo dietro ai cespugli,Der Hamster versteckt sich hinter den Büschen,Le hamster se cache derrière les buissons,Хомяк прячется за кустами
STRING_CLEAN_BATHROOM_LIGHT,Turn on the light to clean the dirty mirror,Bật đèn để lau gương bẩn,明かりをつけて汚れた鏡を掃除する,불을 켜서 더러운 거울 청소하기,打开灯清洁脏镜子,Enciende la luz para limpiar el espejo sucio,Ligue a luz para limpar o espelho sujo,Accendi la luce per pulire lo specchio sporco,"Das Licht einschalten, um den schmutzigen Spiegel zu reinigen",Allumez la lumière pour nettoyer le miroir sale,"Включите свет, чтобы очистить грязное зеркало"
STRING_CLEAN_BATHROOM_WATER_OFF,Turn the water off,Tắt nước,水を止める,물 끄기,关闭水龙头,Cierra el agua,Desligue a água,Chiudi l'acqua,Das Wasser abstellen,Coupez l'eau,Выключите воду
STRING_MAKEUP_BOX_LIPSTICK,Lipstick caps should match the color of the lipstick,Nắp son môi phải phù hợp với màu son,リップスティックのキャップはリップスティックの色と一致させる,립스틱 캡은 립스틱 색상과 맞아야 함,唇膏的盖子应该与唇膏的颜色匹配,Las tapas de los labiales deben coincidir con el color del labial,As tampas dos batons devem corresponder à cor do batom,I cappucci dei rossetti devono abbinarsi al colore del rossetto,Die Lippenstiftkappen sollten mit der Farbe des Lippenstifts übereinstimmen,Les bouchons de rouge à lèvres doivent correspondre à la couleur du rouge à lèvres,Крышечки от помад должны соответствовать цвету помады
STRING_ORGANIZE_WARDROBE_SKIRT,Skirts need to be arranged from long to short,Váy cần được sắp xếp từ dài đến ngắn,スカートは長いものから短いものへと並べる,스커트는 길이 순서대로 배열하기,裙子需要按长度从长到短排列,Las faldas deben organizarse de largo a corto,As saias devem ser organizadas do comprimento maior para o menor,Le gonne devono essere sistemate dal lungo al corto,Die Röcke müssen von lang nach kurz angeordnet werden,Les jupes doivent être disposées de la plus longue à la plus courte,Юбки нужно расположить от длинных к коротким
STRING_ORGANIZE_WARDROBE_BAG,Bags need to be placed following the correct positions,Túi xách cần được đặt đúng vị trí,バッグは正しい位置に配置する,가방을 올바른 위치에 배치하기,包包需要放置在正确的位置,Las bolsas deben colocarse en las posiciones correctas,As bolsas devem ser colocadas nas posições corretas,Le borse devono essere collocate nelle posizioni corrette,Die Taschen müssen an den richtigen Stellen platziert werden,Les sacs doivent être placés aux positions correctes,Сумки нужно разместить на правильных местах
STRING_KITCHEN_SPATULAS,Spatulas need to placed from short to long,Thìa cần đặt từ ngắn đến dài,スパチュラは短いものから長いものへと並べる,주걱을 짧은 것부터 긴 것 순서로 배치하기,抹刀需要按长度从短到长排列,Las espátulas deben organizarse de cortas a largas,As espátulas devem ser organizadas do tamanho menor para o maior,Le spatole devono essere disposte dal più corto al più lungo,Die Spatel müssen von kurz nach lang angeordnet werden,Les spatules doivent être disposées de la plus courte à la plus longue,Лопатки нужно разместить от коротких к длинным
STRING_KITCHEN_DISHES,Let’s clean dishes,Hãy rửa bát đĩa,皿を掃除しましょう,접시를 청소하자,清洗碗碟吧,Vamos a limpiar los platos,Vamos limpar os pratos,Puliamo i piatti,Lass uns die Geschirrspülen,Nettoyons la vaisselle,Давайте помоем посуду
STRING_GIRLFRIEND_ROOM_TISSUES,Use tissue to wipe off the dirt from the radish doll,Dùng khăn giấy lau sạch bụi bẩn trên búp bê củ cải,ティッシュを使って大根の人形の汚れを拭き取る,티슈를 사용하여 무순 인형의 더러움을 닦기,用纸巾擦拭萝卜娃娃上的污垢,Usa un pañuelo para limpiar la suciedad de la muñeca de rábano,Use um lenço para limpar a sujeira da boneca de rabanete,Usa un fazzoletto per pulire lo sporco dalla bambola di ravanello,"Verwende ein Taschentuch, um den Schmutz von der Rettichpuppe zu wischen",Utilisez un mouchoir pour essuyer la saleté de la poupée radis,"Используйте салфетку, чтобы вытереть грязь с куклы редьки"
STRING_GIRLFRIEND_ROOM_VOODOO,Throw the voodoo doll & all tissues in the trash,Vứt búp bê voodoo và tất cả khăn giấy vào thùng rác,ブードゥー人形とすべてのティッシュをゴミ箱に捨てる,부두 인형과 모든 티슈를 쓰레기통에 버리기,将巫毒娃娃和所有纸巾扔进垃圾桶,Tira la muñeca vudú y todos los pañuelos a la basura,Jogue a boneca vudu e todos os lenços no lixo,Getta la bambola voodoo e tutti i fazzoletti nella spazzatura,Die Voodoo-Puppe und alle Taschentücher in den Müll werfen,Jetez la poupée vaudou et tous les mouchoirs à la poubelle,Выбросьте вуду-куклу и все салфетки в мусорное ведро
STRING_DAUGHTER_WARDROBE_DRESSES,"Sort dresses, hats, bags and shoes according to colors","Sắp xếp váy, mũ, túi xách và giày theo màu sắc",ドレス、帽子、バッグ、靴を色別に整理する,"드레스, 모자, 가방, 신발을 색상별로 정리하기",按颜色分类整理衣服、帽子、包包和鞋子,"Clasifica vestidos, sombreros, bolsas y zapatos por colores","Classifique vestidos, chapéus, bolsas e sapatos de acordo com as cores","Ordina vestiti, cappelli, borse e scarpe per colore","Kleider, Hüte, Taschen und Schuhe nach Farben sortieren","Triez les robes, les chapeaux, les sacs et les chaussures par couleur","Сортируйте платья, шляпы, сумки и обувь по цветам"
STRING_DAUGHTER_WARDROBE_PAJAMAS,Put pajamas & socks into drawers,Cất đồ ngủ và tất vào ngăn kéo,パジャマと靴下を引き出しにしまう,파자마와 양말을 서랍에 넣기,将睡衣和袜子放进抽屉,Coloca pijamas y calcetines en los cajones,Coloque pijamas e meias nas gavetas,Metti i pigiami e le calze nei cassetti,Schlafanzüge und Socken in die Schubladen legen,Mettez les pyjamas et les chaussettes dans les tiroirs,Положите пижамы и носки в ящики
STRING_MAKEUP_CLEAN_LENSES,First take off the eyelashes and contact lenses,Đầu tiên hãy tháo lông mi và kính áp tròng,まずまつげとコンタクトレンズを外す,먼저 속눈썹과 콘택트 렌즈를 제거하기,首先取下假睫毛和隐形眼镜,Primero quita las pestañas postizas y los lentes de contacto,Primeiro retire os cílios postiços e as lentes de contato,Prima togli le ciglia finte e le lenti a contatto,Zuerst die Wimpern und Kontaktlinsen entfernen,Enlevez d'abord les faux cils et les lentilles de contact,Сначала снимите накладные ресницы и контактные линзы
STRING_GENTLEMEN_BOX_GOLD,Place gold under the bracelet box,Đặt vàng dưới hộp vòng đeo tay,ブレスレットの箱の下に金を置く,팔찌 상자 아래에 금을 놓기,将金子放在手链盒子下方,Coloca el oro debajo de la caja de pulseras,Coloque o ouro sob a caixa de pulseiras,Metti l'oro sotto la scatola dei braccialetti,Das Gold unter die Armbox legen,Placez de l'or sous la boîte à bracelets,Положите золото под коробку с браслетами
STRING_BIRTHDAY_LIGHT,Turn on the light,Bật đèn,明かりをつける,불 켜기,打开灯,Enciende la luz,Ligue a luz,Accendi la luce,Das Licht einschalten,Allumez la lumière,Включите свет
STRING_BIRTHDAY_V2A,Flip V to A,Lật V sang A,VをAにひっくり返す,V를 A로 뒤집기,将V翻转为A,Voltea V a A,Vire o V para A,Capovolgi V in A,V auf A umschalten,Faites pivoter V en A,Поверните V на A
STRING_BIRTHDAY_PICTURE,Click to the picture,Bấm vào bức tranh,写真をクリックする,사진을 클릭하기,点击图片,Haz clic en la imagen,Clique na imagem,Clicca sull'immagine,Auf das Bild klicken,Cliquez sur l'image,Нажмите на картинку
STRING_BIRTHDAY_LETTER,The light strip needs to be dragged onto the letters,Di chuyển để làm sáng các chữ cái,ライトストリップを文字にドラッグする必要がある,조명 스트립을 문자 위로 드래그하기,将灯带拖到字母上,La tira de luces debe arrastrarse sobre las letras,A tira de luz precisa ser arrastada para as letras,La striscia di luci deve essere trascinata sopra le lettere,Die Lichtleiste muss auf die Buchstaben gezogen werden,La bande lumineuse doit être glissée sur les lettres,Светодиодную ленту нужно перетащить на буквы
STRING_RESCUE_THE_BIRD_HINT,Use a screwdriver to remove the wooden bars to rescue the bird,Dùng tua vít và tháo các thanh gỗ để giải cứu chú chim,ドライバーを使って木の棒を外して鳥を救う,드라이버를 사용하여 나무 막대를 제거하고 새를 구하기,使用螺丝刀拆除木条以救出小鸟,Usa un destornillador para quitar las barras de madera y rescatar al pájaro,Use uma chave de fenda para remover as barras de madeira e resgatar o pássaro,Usa un cacciavite per rimuovere le barre di legno e salvare l'uccello,"Verwende einen Schraubendreher, um die Holzleisten zu entfernen und den Vogel zu retten",Utilisez un tournevis pour retirer les barres en bois et sauver l'oiseau,"Используйте отвертку, чтобы снять деревянные планки и спасти птицу"
STRING_ORGANIZE_THE_OFFICE_DESK_HINT,Arrange books in order from highest to lowest,Sắp xếp sách theo thứ tự từ cao đến thấp,本を高さ順に並べる,책을 높은 것부터 낮은 것 순서로 배열하기,将书籍按高度从高到低排列,Organiza los libros de mayor a menor altura,Organize os livros da altura maior para a menor,Disponi i libri in ordine dalla altezza maggiore alla minore,Bücher der Größe nach von hoch nach niedrig anordnen,Disposez les livres de la hauteur la plus grande à la plus petite,Расположите книги в порядке от самой высокой до самой низкой
STRING_YOUNGER_MAKEUP_1,Inject under the two eye bags,Tiêm vào dưới hai bọng mắt,目の下の2か所に注射する,두 눈 밑에 주사하기,在两个眼袋下注射,Inyecta debajo de las dos bolsas de los ojos,Injetar sob as duas bolsas dos olhos,Inietta sotto le due borse degli occhi,Unter die beiden Augenringe injizieren,Injectez sous les deux poches sous les yeux,Сделайте инъекцию под двумя мешками под глазами
STRING_FIX_MAKEUP_BOX_HINT,Follow the steps one by one,Lần lượt thực hiện theo các bước,ステップを一つずつ実行する,단계를 하나씩 따르기,按步骤逐一操作,Sigue los pasos uno por uno,Siga os passos um a um,Segui i passaggi uno per uno,Die Schritte eins nach dem anderen befolgen,Suivez les étapes une par une,Следуйте шагам один за другим
STRING_HELP_THE_CAT_HINT,Use cotton swabs to clean cat ears,Dùng tăm bông để làm sạch tai mèo,綿棒を使って猫の耳を掃除する,면봉을 사용하여 고양이 귀 청소하기,使用棉签清洁猫耳,Usa hisopos para limpiar las orejas del gato,Use cotonetes para limpar as orelhas do gato,Usa i cotton fioc per pulire le orecchie del gatto,"Verwende Wattestäbchen, um die Katzenohren zu reinigen",Utilisez des cotons-tiges pour nettoyer les oreilles du chat,"Используйте ватные палочки, чтобы почистить уши кошки"
STRING_ORGANIZE_KITCHEN_1,Open doors and rearrange objects,Mở cửa và sắp xếp lại đồ vật,ドアを開けて物を再配置する,문을 열고 물건을 재배치하기,打开门并重新排列物品,Abre las puertas y reorganiza los objetos,Abra as portas e reorganize os objetos,Apri le porte e riorganizza gli oggetti,Türen öffnen und Objekte neu anordnen,Ouvrez les portes et réorganisez les objets,Откройте двери и переупорядочите предметы
STRING_ORGANIZE_KITCHEN_2,Turn off the stove,Tắt bếp đang nấu,コンロを消す,스토브 끄기,关闭炉子,Apaga la estufa,Desligue o fogão,Spegni il fornello,Den Herd ausschalten,Éteignez le four,Выключите плиту
STRING_WASHFAN_1,Turn off the switch before starting. Turn on the switch after completion,Tắt công tắc trước khi bắt đầu. Bật công tắc sau khi hoàn thành,開始前にスイッチを切り、終了後にスイッチを入れる,"시작하기 전에 스위치를 끄고, 완료 후 스위치를 켜기",开始前关闭开关，完成后打开开关,Apaga el interruptor antes de empezar. Enciende el interruptor después de completar,Desligue o interruptor antes de começar. Ligue o interruptor após concluir,Spegni l'interruttore prima di iniziare. Accendi l'interruttore dopo aver completato,Den Schalter vor dem Starten ausschalten. Den Schalter nach Abschluss wieder einschalten,Éteignez l'interrupteur avant de commencer. Allumez l'interrupteur après avoir terminé,Выключите выключатель перед началом. Включите выключатель после завершения
STRING_WASHFAN_2,Remove the fan parts one by one and reinstall them in their original positions after cleaning,Tháo từng bộ phận của quạt và lắp lại vào vị trí ban đầu sau khi vệ sinh,扇風機の部品を一つずつ取り外し、掃除後に元の位置に再取り付けする,팬 부품을 하나씩 제거하고 청소 후 원래 위치에 재설치하기,逐个拆除风扇部件，清洁后重新安装回原位,Quita las partes del ventilador una por una y reinstálalas en sus posiciones originales después de limpiarlas,Remova as partes do ventilador uma por uma e reinstale-as em suas posições originais após a limpeza,Rimuovi le parti del ventilatore una per una e reinstallale nelle loro posizioni originali dopo la pulizia,Die Ventilatorenteile einzeln entfernen und nach der Reinigung an ihren ursprünglichen Positionen wieder anbringen,Retirez les pièces du ventilateur une par une et réinstallez-les dans leurs positions d'origine après nettoyage,Удалите части вентилятора одну за другой и установите их на свои места после очистки
STRING_CLEANING_SNEAKER_HINT_RINSE,Rinse after cleaning steps,Xả nước sau các bước làm sạch,掃除の後にすすぐ,청소 후 헹구기,清洁步骤后冲洗,Enjuaga después de los pasos de limpieza,Enxágue após os passos de limpeza,Risciacqua dopo i passaggi di pulizia,Nach den Reinigungsschritten ausspülen,Rincez après les étapes de nettoyage,Прополощите после шагов очистки
